step_idx,RoomA:Sensor__room_temperature_real,RoomB:Sensor__room_temperature_real,RoomC:Sensor__room_temperature_real,RoomD:Sensor__room_temperature_real,RoomE:Sensor__room_temperature_real,RoomF:Sensor__room_temperature_real,RoomA:Sensor__room_temperature_pred,RoomB:Sensor__room_temperature_pred,RoomC:Sensor__room_temperature_pred,RoomD:Sensor__room_temperature_pred,RoomE:Sensor__room_temperature_pred,RoomF:Sensor__room_temperature_pred
0,22.04,21.61,21.61,20.87,20.89,20.82,21.735506,21.754827,21.61072,20.820284,20.703205,20.810883
1,21.8,21.68,21.49,20.89,20.85,20.78,21.564014,21.673727,21.529364,20.84351,20.69411,20.84144
2,21.8,21.68,21.71,20.82,20.98,20.98,21.57164,21.734972,21.601154,20.905136,20.81371,20.990513
3,22.01,21.61,21.68,20.85,20.78,20.78,21.744572,21.763424,21.598867,20.811457,20.65477,20.770363
4,22.01,21.56,21.61,20.78,20.85,20.85,21.707191,21.695202,21.549469,20.798632,20.684444,20.834162
5,21.71,21.66,21.63,20.85,20.82,20.78,21.528292,21.688833,21.545324,20.842907,20.701948,20.846394
6,21.8,21.68,21.63,20.87,20.85,20.85,21.582588,21.718138,21.570822,20.85922,20.726793,20.869104
7,21.92,21.66,21.63,20.68,20.76,20.87,21.690374,21.727362,21.561228,20.736279,20.66178,20.796124
8,21.83,21.73,21.49,20.87,20.78,20.61,21.624315,21.726334,21.572807,20.778082,20.615614,20.70412
9,21.87,21.61,21.59,20.78,20.85,20.73,21.626034,21.69642,21.563976,20.769634,20.668276,20.78
10,21.87,21.68,21.54,20.76,20.82,20.8,21.63485,21.704254,21.55452,20.764458,20.671309,20.796963
11,21.83,21.61,21.54,20.68,20.89,20.71,21.59163,21.662945,21.54417,20.719233,20.664833,20.78086
12,21.83,21.51,21.66,20.89,20.85,20.78,21.562067,21.677658,21.567698,20.828356,20.70009,20.817924
13,21.73,21.63,21.61,20.76,20.82,20.68,21.540722,21.682856,21.564495,20.750917,20.65983,20.754831
14,21.68,21.47,21.49,20.76,20.8,20.85,21.420147,21.555958,21.45747,20.77298,20.666666,20.86465
15,21.78,21.56,21.63,20.73,20.78,20.68,21.568714,21.676386,21.55743,20.719734,20.632092,20.728853
16,21.68,21.49,21.63,20.78,20.82,20.66,21.474033,21.621319,21.522324,20.75546,20.652946,20.771599
17,21.85,21.44,21.37,20.71,20.82,20.76,21.517221,21.527708,21.43164,20.707523,20.615177,20.79729
18,21.51,21.54,21.56,20.71,20.82,20.76,21.35238,21.57163,21.47009,20.765905,20.674997,20.85952
19,21.66,21.54,21.54,20.66,20.87,20.76,21.447937,21.589073,21.486132,20.730742,20.673985,20.842047
20,21.68,21.47,21.49,20.68,20.78,20.66,21.4499,21.547523,21.448933,20.696814,20.604849,20.761
21,21.78,21.59,21.47,20.68,20.78,20.68,21.549006,21.616806,21.490818,20.696297,20.606365,20.740381
22,21.75,21.56,21.51,20.61,20.87,20.66,21.528305,21.605412,21.497768,20.677746,20.633709,20.766005
23,21.9,21.49,21.54,20.71,20.87,20.78,21.597809,21.627186,21.517128,20.730312,20.660406,20.803282
24,21.8,21.59,21.59,20.58,20.85,20.73,21.586178,21.66095,21.539852,20.66859,20.649364,20.76681
25,21.73,21.56,21.44,20.58,20.66,20.51,21.532751,21.598604,21.479988,20.580143,20.500904,20.602707
26,21.78,21.54,21.47,20.66,20.71,20.78,21.528788,21.59191,21.46725,20.680592,20.599182,20.754463
27,21.61,21.56,21.54,20.49,20.68,20.66,21.461369,21.576853,21.462563,20.590725,20.564856,20.69802
28,21.83,21.51,21.44,20.56,20.76,20.68,21.566029,21.58537,21.473454,20.607578,20.568737,20.70339
29,21.61,21.49,21.59,20.63,20.78,20.71,21.424429,21.57838,21.482876,20.679594,20.632097,20.776266
30,21.51,21.47,21.44,20.46,20.8,20.61,21.343332,21.477345,21.404285,20.57473,20.582645,20.74578
31,21.59,21.39,21.44,20.51,20.63,20.61,21.369543,21.461945,21.393492,20.573612,20.52001,20.670183
32,21.66,21.39,21.39,20.56,20.73,20.61,21.409088,21.467447,21.392912,20.594982,20.53967,20.702328
33,21.59,21.42,21.44,20.58,20.63,20.61,21.388002,21.483147,21.395489,20.599663,20.51968,20.67626
34,21.61,21.32,21.47,20.51,20.73,20.56,21.379284,21.453491,21.393942,20.568144,20.530905,20.68546
35,21.56,21.42,21.37,20.51,20.63,20.58,21.361486,21.444347,21.363949,20.557688,20.497719,20.663689
36,21.75,21.44,21.47,20.39,20.73,20.56,21.514635,21.540976,21.45427,20.504131,20.515926,20.634943
37,21.63,21.39,21.32,20.51,20.68,20.63,21.378096,21.426968,21.352497,20.562733,20.513697,20.697643
38,21.68,21.49,21.39,20.56,20.61,20.76,21.44535,21.50736,21.394938,20.6056,20.538628,20.720448
39,21.66,21.61,21.35,20.61,20.68,20.56,21.471375,21.562378,21.448763,20.607576,20.52417,20.64272
