step_idx,RoomA:Sensor__room_temperature_real,RoomB:Sensor__room_temperature_real,RoomC:Sensor__room_temperature_real,RoomD:Sensor__room_temperature_real,RoomE:Sensor__room_temperature_real,RoomF:Sensor__room_temperature_real,RoomA:Sensor__room_temperature_pred,RoomB:Sensor__room_temperature_pred,RoomC:Sensor__room_temperature_pred,RoomD:Sensor__room_temperature_pred,RoomE:Sensor__room_temperature_pred,RoomF:Sensor__room_temperature_pred
0,22.04,21.61,21.61,20.87,20.89,20.82,21.735506,21.754827,21.61072,20.820284,20.703205,20.810883
1,21.8,21.68,21.49,20.89,20.85,20.78,21.738762,21.746502,21.62933,20.829744,20.73078,20.801672
2,21.8,21.68,21.71,20.82,20.98,20.98,21.748003,21.738874,21.638742,20.829037,20.748713,20.792627
3,22.01,21.61,21.68,20.85,20.78,20.78,21.74711,21.734945,21.644272,20.830194,20.759066,20.783014
4,22.01,21.56,21.61,20.78,20.85,20.85,21.743176,21.73175,21.64741,20.830114,20.766115,20.775087
5,21.71,21.66,21.63,20.85,20.82,20.78,21.736153,21.728678,21.645826,20.826881,20.767683,20.767214
6,21.8,21.68,21.63,20.87,20.85,20.85,21.729548,21.725674,21.642155,20.818825,20.767935,20.760029
7,21.92,21.66,21.63,20.68,20.76,20.87,21.723248,21.72166,21.637455,20.80981,20.766567,20.753214
8,21.83,21.73,21.49,20.87,20.78,20.61,21.716743,21.717133,21.631336,20.801363,20.764635,20.74664
9,21.87,21.61,21.59,20.78,20.85,20.73,21.710224,21.711365,21.624487,20.792934,20.762407,20.74095
10,21.87,21.68,21.54,20.76,20.82,20.8,21.704124,21.704597,21.617378,20.784304,20.760183,20.736008
11,21.83,21.61,21.54,20.68,20.89,20.71,21.698147,21.69737,21.609882,20.775314,20.757849,20.731567
12,21.83,21.51,21.66,20.89,20.85,20.78,21.692421,21.689163,21.60246,20.766766,20.755747,20.727758
13,21.73,21.63,21.61,20.76,20.82,20.68,21.686703,21.680489,21.595284,20.758802,20.753622,20.724268
14,21.68,21.47,21.49,20.76,20.8,20.85,21.681301,21.671352,21.588345,20.75137,20.751421,20.721165
15,21.78,21.56,21.63,20.73,20.78,20.68,21.675497,21.662151,21.58146,20.744572,20.749315,20.7184
16,21.68,21.49,21.63,20.78,20.82,20.66,21.669596,21.652845,21.574606,20.738762,20.747099,20.716074
17,21.85,21.44,21.37,20.71,20.82,20.76,21.663067,21.643589,21.567984,20.73446,20.74498,20.714201
18,21.51,21.54,21.56,20.71,20.82,20.76,21.655714,21.63445,21.56166,20.731491,20.74306,20.712637
19,21.66,21.54,21.54,20.66,20.87,20.76,21.647799,21.625187,21.555557,20.72926,20.74127,20.71123
20,21.68,21.47,21.49,20.68,20.78,20.66,21.639704,21.615948,21.549551,20.727385,20.73946,20.709871
