step_idx,RoomA:Sensor__room_temperature_real,RoomB:Sensor__room_temperature_real,RoomC:Sensor__room_temperature_real,RoomD:Sensor__room_temperature_real,RoomE:Sensor__room_temperature_real,RoomF:Sensor__room_temperature_real,RoomA:Sensor__room_temperature_pred,RoomB:Sensor__room_temperature_pred,RoomC:Sensor__room_temperature_pred,RoomD:Sensor__room_temperature_pred,RoomE:Sensor__room_temperature_pred,RoomF:Sensor__room_temperature_pred
0,22.04,21.61,21.61,20.87,20.89,20.82,21.735506,21.754827,21.61072,20.820284,20.703205,20.810883
1,21.8,21.68,21.49,20.89,20.85,20.78,21.739088,21.746431,21.628677,20.830566,20.73165,20.80334
2,21.8,21.68,21.71,20.82,20.98,20.98,21.750273,21.73851,21.635937,20.832357,20.751902,20.799068
3,22.01,21.61,21.68,20.85,20.78,20.78,21.752495,21.734196,21.638783,20.836746,20.765705,20.796183
4,22.01,21.56,21.61,20.78,20.85,20.85,21.588352,21.725119,21.558662,20.835192,20.68667,20.820911
5,21.71,21.66,21.63,20.85,20.82,20.78,21.61431,21.705791,21.567717,20.858492,20.719143,20.823566
6,21.8,21.68,21.63,20.87,20.85,20.85,21.63666,21.68618,21.57115,20.856533,20.739128,20.820225
7,21.92,21.66,21.63,20.68,20.76,20.87,21.645842,21.67078,21.570267,20.844759,20.748571,20.808693
8,21.83,21.73,21.49,20.87,20.78,20.61,21.477627,21.662283,21.515284,20.82604,20.678953,20.836695
9,21.87,21.61,21.59,20.78,20.85,20.73,21.52331,21.642422,21.518106,20.842405,20.70895,20.835142
10,21.87,21.68,21.54,20.76,20.82,20.8,21.553448,21.618277,21.516151,20.836176,20.729202,20.82857
11,21.83,21.61,21.54,20.68,20.89,20.71,21.56424,21.603395,21.513111,20.82084,20.73896,20.81139
12,21.83,21.51,21.66,20.89,20.85,20.78,21.390032,21.602978,21.476778,20.801544,20.664175,20.84259
13,21.73,21.63,21.61,20.76,20.82,20.68,21.445843,21.58628,21.479445,20.817387,20.692272,20.835781
14,21.68,21.47,21.49,20.76,20.8,20.85,21.477474,21.568518,21.478243,20.810019,20.711222,20.823029
15,21.78,21.56,21.63,20.73,20.78,20.68,21.49372,21.552935,21.47843,20.80005,20.7172,20.801964
16,21.68,21.49,21.63,20.78,20.82,20.66,21.330074,21.552078,21.438261,20.78978,20.647491,20.85169
