step_idx,RoomA:Sensor__room_temperature_real,RoomB:Sensor__room_temperature_real,RoomC:Sensor__room_temperature_real,RoomD:Sensor__room_temperature_real,RoomE:Sensor__room_temperature_real,RoomF:Sensor__room_temperature_real,RoomA:Sensor__room_temperature_pred,RoomB:Sensor__room_temperature_pred,RoomC:Sensor__room_temperature_pred,RoomD:Sensor__room_temperature_pred,RoomE:Sensor__room_temperature_pred,RoomF:Sensor__room_temperature_pred
800,21.99,22.42,22.1,22.29,21.25,21.51,22.051935,22.352236,22.02613,22.28325,21.34422,21.462425
801,22.01,22.31,22.08,22.15,21.23,21.47,22.098972,22.295673,21.98754,22.279182,21.406313,21.453398
802,21.97,22.29,22.13,22.04,21.16,21.44,22.138308,22.256706,21.962515,22.281414,21.451113,21.456211
803,22.04,22.47,22.13,22.01,21.14,21.44,22.173252,22.233028,21.945507,22.289227,21.48345,21.459795
804,21.92,22.24,22.08,22.06,21.19,21.49,22.20151,22.220057,21.9378,22.302588,21.505125,21.466137
805,21.99,22.22,22.06,22.06,21.21,21.56,22.225155,22.215427,21.936354,22.317398,21.520683,21.475622
806,21.97,22.19,22.08,21.99,21.16,21.42,22.244661,22.214954,21.938974,22.331089,21.53144,21.48632
807,21.87,22.19,22.04,21.95,21.19,21.47,22.261038,22.217552,21.94378,22.343489,21.540384,21.496546
808,21.87,22.29,22.13,21.85,21.25,21.42,22.274017,22.222675,21.949827,22.355503,21.547722,21.506844
809,21.23,22.19,22.08,21.75,21.16,21.3,22.284285,22.2294,21.95689,22.367182,21.554379,21.516975
810,21.78,22.19,22.08,21.71,21.25,21.49,22.292423,22.236935,21.964655,22.37855,21.560884,21.526842
811,22.01,22.29,22.08,21.75,21.12,21.37,22.299398,22.244274,21.97255,22.389267,21.567787,21.536385
812,21.97,22.22,21.97,21.68,21.14,21.21,22.305614,22.25164,21.980152,22.399958,21.574402,21.546057
813,21.83,22.24,21.9,21.78,21.25,21.39,22.31078,22.258524,21.987442,22.410122,21.581444,21.555191
814,21.9,22.13,22.9,21.59,21.16,21.25,22.314644,22.264957,21.994202,22.42025,21.588266,21.56413
815,21.75,22.01,22.04,21.59,21.1,21.37,22.317305,22.270458,22.00031,22.430109,21.59529,21.572681
816,21.87,22.13,22.04,21.54,21.07,21.19,22.318764,22.27499,22.005505,22.439985,21.602165,21.58104
817,21.83,22.06,22.01,21.54,21.12,21.35,22.319534,22.27742,22.009718,22.44874,21.610487,21.588306
818,21.9,22.1,21.92,21.56,21.12,21.25,22.3197,22.277702,22.012733,22.45663,21.619205,21.595152
819,21.85,22.04,21.9,21.44,21.03,21.19,22.320267,22.27595,22.014412,22.463097,21.627373,21.60206
820,21.87,21.92,21.87,21.49,21.0,21.23,22.320898,22.272997,22.01473,22.468988,21.634895,21.608677
821,21.83,22.01,21.87,21.42,21.12,21.25,22.321157,22.2694,22.013952,22.474443,21.641636,21.614857
822,21.8,22.06,21.9,21.42,21.14,21.35,22.320667,22.265358,22.012691,22.479544,21.647474,21.620583
823,21.73,22.06,21.87,21.37,21.07,21.21,22.319485,22.26124,22.01126,22.48469,21.652582,21.626219
824,21.71,21.92,21.75,21.23,21.03,21.12,22.318014,22.256294,22.009687,22.488968,21.658167,21.631367
825,21.71,21.95,21.75,21.23,20.85,21.14,22.316248,22.250942,22.007687,22.492838,21.663599,21.636288
826,21.68,21.99,21.83,21.16,20.94,21.12,22.314238,22.245085,22.00525,22.496357,21.66895,21.64089
827,21.78,21.95,21.85,21.07,21.0,21.03,22.311914,22.238743,22.002361,22.499273,21.674429,21.64518
828,21.75,21.95,21.71,21.21,21.0,21.19,22.309278,22.231907,21.99909,22.501516,21.679943,21.649508
829,21.71,21.95,21.83,21.21,21.0,21.05,22.306324,22.22445,21.99542,22.503115,21.685612,21.65367
830,21.71,21.99,21.85,21.16,21.0,21.16,22.302872,22.21627,21.991365,22.504307,21.690994,21.657747
831,21.61,21.87,21.78,21.03,21.03,21.12,22.298721,22.207949,21.986881,22.505678,21.6956,21.661922
832,21.68,21.75,21.78,21.1,20.96,21.16,22.293856,22.199303,21.982128,22.506983,21.699951,21.665987
833,21.54,21.87,21.68,21.05,20.94,21.12,22.288342,22.19008,21.9771,22.508083,21.704365,21.669886
834,21.49,21.8,21.68,20.98,20.94,20.96,22.281763,22.179241,21.972626,22.509398,21.70984,21.672861
835,21.51,21.85,21.78,20.89,21.03,21.07,22.273983,22.165466,21.971306,22.511145,21.71874,21.672514
836,21.59,21.85,21.71,21.05,20.91,21.1,22.266796,22.150179,21.969639,22.511951,21.728912,21.670713
837,21.61,21.85,21.68,20.96,20.94,20.89,22.260681,22.135124,21.96633,22.511927,21.737669,21.668901
838,21.56,21.83,21.63,20.98,21.03,20.96,22.255121,22.12056,21.960274,22.51146,21.744497,21.668036
839,21.66,21.8,21.73,20.87,20.94,21.07,22.249943,22.10591,21.952993,22.510311,21.75034,21.667397
840,21.61,21.78,21.59,21.07,21.05,21.05,21.996641,22.132837,21.979103,22.381311,21.785585,21.588263
841,21.68,21.78,21.83,20.85,20.87,21.03,21.81803,22.107328,21.976639,22.298326,21.804228,21.552948
842,21.51,21.83,21.61,20.91,20.96,20.98,21.675552,22.053394,21.953348,22.244005,21.816322,21.542953
843,21.47,21.73,21.75,20.87,20.85,21.0,21.552608,21.997702,21.915348,22.219912,21.828442,21.55002
844,21.44,21.75,21.66,20.85,19.85,20.94,21.436928,21.948559,21.875124,22.213163,21.842453,21.57304
845,21.44,21.75,21.61,20.78,20.87,20.96,21.323547,21.902048,21.844587,22.220583,21.859783,21.60914
846,21.54,21.73,21.56,20.87,20.94,20.91,21.202473,21.866974,21.826538,22.240568,21.88351,21.653854
847,21.39,21.75,21.63,20.78,20.87,21.03,21.072372,21.840773,21.815834,22.264584,21.911655,21.70256
848,21.56,21.75,21.56,20.8,20.76,20.94,20.935778,21.81826,21.812292,22.292765,21.942633,21.752897
849,21.44,21.71,21.56,20.78,20.96,20.94,20.78883,21.800467,21.81498,22.318779,21.977089,21.803972
850,21.39,21.73,21.59,20.61,20.82,20.94,20.637188,21.781895,21.818413,22.335018,22.015581,21.854685
851,21.39,21.73,21.51,21.28,20.87,20.8,20.494537,21.763287,21.828602,22.342258,22.054007,21.899784
852,21.47,21.8,21.61,20.85,20.91,20.91,20.368092,21.752579,21.841797,22.351542,22.086433,21.937706
853,21.28,21.83,21.42,20.78,20.89,20.96,20.257847,21.74789,21.854385,22.362717,22.113682,21.968834
854,21.44,21.73,21.56,20.85,20.89,20.94,20.16248,21.744234,21.86731,22.374977,22.136679,21.996666
855,21.42,21.8,21.61,20.68,20.91,20.96,20.08192,21.742632,21.880661,22.387154,22.157082,22.021801
856,21.42,21.51,21.42,20.58,20.87,20.82,20.016327,21.74456,21.894997,22.396605,22.176228,22.044935
857,21.44,21.63,21.63,20.56,20.82,20.85,19.963852,21.748516,21.91016,22.404322,22.19491,22.066156
858,21.44,21.61,21.49,20.61,20.78,21.03,19.923124,21.751865,21.925789,22.41109,22.213749,22.086163
859,21.42,21.66,21.51,19.71,20.78,20.82,19.891937,21.755516,21.940594,22.417278,22.232557,22.105282
860,21.37,21.61,21.37,20.66,20.89,20.89,19.869238,21.760496,21.954323,22.423569,22.249939,22.123999
861,21.39,21.51,21.42,20.66,20.78,20.85,19.85242,21.766806,21.967619,22.429583,22.266817,22.140913
862,21.35,21.49,21.54,20.51,20.78,20.87,19.841278,21.774902,21.980747,22.43521,22.282766,22.157124
863,21.37,21.73,21.51,20.61,20.68,20.87,19.836058,21.784403,21.993828,22.441513,22.296673,22.173399
